NU_ANO_CENSO|ID_GESTOR|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|TP_ESCOLARIDADE|TP_ENSINO_MEDIO|CO_AREA_CURSO_1|CO_CURSO_1|IN_LICENCIATURA_1|NU_ANO_CONCLUSAO_1|TP_TIPO_IES_1|CO_IES_1|CO_AREA_CURSO_2|CO_CURSO_2|IN_LICENCIATURA_2|NU_ANO_CONCLUSAO_2|TP_TIPO_IES_2|CO_IES_2|IN_ESPECIALIZACAO|IN_MESTRADO|IN_DOUTORADO|IN_POS_NENHUM|IN_ESPECIFICO_CRECHE|IN_ESPECIFICO_PRE_ESCOLA|IN_ESPECIFICO_ANOS_INICIAIS|IN_ESPECIFICO_ANOS_FINAIS|IN_ESPECIFICO_ENS_MEDIO|IN_ESPECIFICO_EJA|IN_ESPECIFICO_ED_ESPECIAL|IN_ESPECIFICO_ED_INDIGENA|IN_ESPECIFICO_CAMPO|IN_ESPECIFICO_AMBIENTAL|IN_ESPECIFICO_DIR_HUMANOS|IN_ESPECIFICO_DIV_SEXUAL|IN_ESPECIFICO_DIR_ADOLESC|IN_ESPECIFICO_AFRO|IN_ESPECIFICO_GESTAO|IN_ESPECIFICO_OUTROS|IN_ESPECIFICO_NENHUM|TP_CARGO_GESTOR|TP_TIPO_ACESSO_CARGO|TP_TIPO_CONTRATACAO|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2020|D725F95AB4348E523BA1DBC5999B1705|7|1980|39|40|1|5|1|76|14.0|1400407.0|0|||||||||||3|4.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003155|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|44E055A33A547A9D5D42BBF3AD2C95C9|8|1988|31|32|1|5|1|76|14.0|1400704.0|0|||||||||||4|1.0|0.0|0113P011|1|2018.0|2.0|2536.0|||0||||1.0|0.0|0.0|0.0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|1|1|0|2|||14003171|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
2020|397255DEE27828C4A032D78D92D7CE9E|9|1976|43|44|2|3|1|76|14.0|1400100.0|0|||||||||||4||0.0|0113P011|1|2007.0|1.0|5077.0|||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|2.0|1.0|14003180|1|1401|14002|14|1400704|140070405|2|1|||||||||||1|0|0
2020|6632C8145677AC6CA1B413464439AB1A|2|1976|44|44|1|5|1|76|14.0|1400407.0|0|||||||||||4||0.0|0113E031|1|2009.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|2.0|1.0|14003198|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
2020|D5BE1C41DB05DA05A74A70CF2330F2BC|9|1982|37|38|2|5|1|76|14.0|1400100.0|0|||||||||||4|1.0|0.0|0113E031|1|2017.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003228|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|BBE302CDBFE388D3E2FD22B2AF8C8D50|4|1970|50|50|2|5|1|76|14.0|1400100.0|0|||||||||||3|4.0|||0||||||0||||||||0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|2|||14003244|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|80A74CB8B6528918D6F2F183082AB859|8|1961|58|59|1|0|1|76|25.0|2509008.0|0|||||||||||4||0.0|0114G011|1|1994.0|1.0|579.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003252|1|1401|14002|14|1400407|140040705|3|2|||||||||||0|2|0
2020|8D3A60238F0F1E81698F3F69851859EB|2|1979|41|41|1|5|1|76|14.0|1400407.0|0|||||||||||3|1.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003260|1|1401|14002|14|1400407|140040705|3|2|||||||||||2|2|0
2020|63E315F6509DA4AF5E056FDA0882C1FE|3|1983|37|37|2|5|1|76|14.0|1400407.0|0|||||||||||4|1.0|0.0|0888P012|0|2016.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|2|||14003279|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|8043F54BC410609AF908DCCBFF3F866A|12|1972|47|48|1|5|1|76|14.0|1400100.0|0|||||||||||4|4.0|0.0|0113E031|1|2019.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003287|1|1401|14002|14|1400407|140040705|2|2|||||||||||2|2|1
